"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U5,U6,U7,U8,U9,U10,U11,U3";"VISHAY_VEML6040_1.25X2X1";9;"VEML6040";;;
2;"D1,D5,D9,D7,D3,D2,D6,D4,D8";"LED_PLCC_2835";9;"GW JTLMS3.GM-G6GV-XX55-1-60-R33";;;
3;"C5,C11,C13,C7,C4,C10,C3,C6,C8,C9,C12";"C_0805_2012Metric";11;"0.1µF";;;
4;"R4,R6,R5,R10,R7,R11,R9,R1,R8";"R_0805_2012Metric";9;"100Ω";;;
5;"C1,C2";"C_0805_2012Metric";2;"10µF";;;
6;"U2,U1";"TSSOP-24_4.4x7.8mm_P0.65mm";2;"TCA9548APWR";;;
7;"R12";"R_0805_2012Metric";1;"330Ω";;;
8;"R2,R3,R13";"R_0805_2012Metric";3;"10kΩ";;;
9;"Q1";"SOT23";1;"MMBT2222A";;;
10;"J1";"JST_XH_S7B-XH-A-1_1x07_P2.50mm_Horizontal";1;"Color Sensor Input";;;
