Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","C_0805_2012Metric",111.200000,-85.750000,0.000000,top
"C2","10µF","C_0805_2012Metric",111.150000,-82.250000,0.000000,top
"C3","0.1µF","C_0805_2012Metric",172.650000,-71.000000,-90.000000,top
"C4","0.1µF","C_0805_2012Metric",154.150000,-71.000000,-90.000000,top
"C5","0.1µF","C_0805_2012Metric",135.650000,-71.000000,-90.000000,top
"C6","0.1µF","C_0805_2012Metric",172.650000,-89.750000,-90.000000,top
"C7","0.1µF","C_0805_2012Metric",154.150000,-89.750000,-90.000000,top
"C8","0.1µF","C_0805_2012Metric",135.650000,-89.750000,-90.000000,top
"C9","0.1µF","C_0805_2012Metric",172.650000,-108.250000,-90.000000,top
"C10","0.1µF","C_0805_2012Metric",154.150000,-108.250000,-90.000000,top
"C11","0.1µF","C_0805_2012Metric",135.650000,-108.250000,-90.000000,top
"C12","0.1µF","C_0805_2012Metric",103.650000,-71.500000,-90.000000,top
"C13","0.1µF","C_0805_2012Metric",103.900000,-109.250000,-90.000000,top
"D1","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",125.900000,-71.600000,90.000000,top
"D2","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",144.400000,-71.600000,90.000000,top
"D3","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",162.900000,-71.600000,90.000000,top
"D4","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",125.900000,-90.125000,90.000000,top
"D5","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",144.150000,-90.100000,90.000000,top
"D6","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",162.900000,-90.100000,90.000000,top
"D7","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",125.900000,-108.850000,90.000000,top
"D8","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",144.400000,-108.850000,90.000000,top
"D9","GW JTLMS3.GM-G6GV-XX55-1-60-R33","LED_PLCC_2835",162.900000,-108.850000,90.000000,top
"J1","Color Sensor Input","JST_XH_S7B-XH-A-1_1x07_P2.50mm_Horizontal",101.900000,-82.250000,-90.000000,top
"Q1","MMBT2222A","SOT23",113.450000,-89.750000,-90.000000,top
"R1","100Ω","R_0805_2012Metric",125.900000,-76.912500,-90.000000,top
"R2","10kΩ","R_0805_2012Metric",110.400000,-97.750000,180.000000,top
"R3","10kΩ","R_0805_2012Metric",104.950000,-76.750000,0.000000,top
"R4","100Ω","R_0805_2012Metric",144.400000,-76.912500,-90.000000,top
"R5","100Ω","R_0805_2012Metric",162.900000,-76.912500,-90.000000,top
"R6","100Ω","R_0805_2012Metric",125.900000,-95.412500,-90.000000,top
"R7","100Ω","R_0805_2012Metric",144.400000,-95.412500,-90.000000,top
"R8","100Ω","R_0805_2012Metric",162.900000,-95.412500,-90.000000,top
"R9","100Ω","R_0805_2012Metric",125.900000,-114.162500,-90.000000,top
"R10","100Ω","R_0805_2012Metric",144.400000,-114.250000,-90.000000,top
"R11","100Ω","R_0805_2012Metric",162.900000,-114.250000,-90.000000,top
"R12","330Ω","R_0805_2012Metric",108.450000,-89.750000,180.000000,top
"R13","10kΩ","R_0805_2012Metric",116.950000,-113.150000,-90.000000,top
"U1","TCA9548APWR","TSSOP-24_4.4x7.8mm_P0.65mm",111.400000,-70.916666,180.000000,top
"U2","TCA9548APWR","TSSOP-24_4.4x7.8mm_P0.65mm",111.400000,-108.583333,180.000000,top
"U3","VEML6040","VISHAY_VEML6040_1.25X2X1",132.150000,-71.000000,-90.000000,top
"U4","VEML6040","VISHAY_VEML6040_1.25X2X1",150.650000,-71.000000,-90.000000,top
"U5","VEML6040","VISHAY_VEML6040_1.25X2X1",169.150000,-71.000000,-90.000000,top
"U6","VEML6040","VISHAY_VEML6040_1.25X2X1",132.150000,-89.750000,-90.000000,top
"U7","VEML6040","VISHAY_VEML6040_1.25X2X1",150.650000,-89.750000,-90.000000,top
"U8","VEML6040","VISHAY_VEML6040_1.25X2X1",169.050000,-89.800000,-90.000000,top
"U9","VEML6040","VISHAY_VEML6040_1.25X2X1",132.150000,-108.250000,-90.000000,top
"U10","VEML6040","VISHAY_VEML6040_1.25X2X1",150.650000,-108.250000,-90.000000,top
"U11","VEML6040","VISHAY_VEML6040_1.25X2X1",169.150000,-108.250000,-90.000000,top
