time,tok,code,aligned,homed,ms,U_before,U_after,U_res,U_idx,U_err,R_before,R_after,R_res,R_idx,R_err,F_before,F_after,F_res,F_idx,F_err,D_before,D_after,D_res,D_idx,D_err,L_before,L_after,L_res,L_idx,L_err,B_before,B_after,B_res,B_idx,B_err
1787449394.325,U,0,0,0,119.0,227,3293,-6,2,16,1089,1090,1,0,-2,3762,3760,-2,2,-19,1479,1480,1,0,-3,1251,1251,0,0,-5,217,217,0,3,-12
1787449394.463,U',0,0,0,119.0,3294,227,5,3,19,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1252,1251,-1,0,-5,216,217,1,3,-12
1787449394.599,U,0,0,0,119.0,227,3294,-5,2,17,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1252,1252,0,0,-4,217,217,0,3,-12
1787449394.744,U',0,0,0,119.0,3294,227,5,3,19,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1252,1251,-1,0,-5,216,217,1,3,-12
1787449394.884,U,0,0,0,119.0,227,3294,-5,2,17,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1252,1251,-1,0,-5,217,217,0,3,-12
1787449395.023,U',0,0,0,119.0,3294,226,4,3,18,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1252,1251,-1,0,-5,217,217,0,3,-12
1787449395.163,U,0,0,0,119.0,227,3294,-5,2,17,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1251,1252,1,0,-4,216,217,1,3,-12
1787449395.303,U',0,0,0,119.0,3294,226,4,3,18,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1252,1251,-1,0,-5,217,217,0,3,-12
1787449395.441,U,0,0,0,119.0,227,3294,-5,2,17,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1251,1251,0,0,-5,216,217,1,3,-12
1787449395.583,U',0,0,0,119.0,3295,227,4,3,19,1090,1090,0,0,-2,3760,3760,0,2,-19,1480,1480,0,0,-3,1252,1251,-1,0,-5,216,217,1,3,-12
