time,tok,code,aligned,homed,ms,U_before,U_after,U_res,U_idx,U_err,R_before,R_after,R_res,R_idx,R_err,F_before,F_after,F_res,F_idx,F_err,D_before,D_after,D_res,D_idx,D_err,L_before,L_after,L_res,L_idx,L_err,B_before,B_after,B_res,B_idx,B_err
1787456448.938,U,0,1,-,119.0,3134,2118,8,1,-4,1091,1091,0,0,0,675,674,-1,3,-7,3514,3510,-4,2,7,1249,1250,1,0,-1,1249,1250,1,0,-2
1787456449.082,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3513,3509,-4,2,6,1249,1250,1,0,-1,1249,1250,1,0,-2
1787456449.215,U,0,1,-,119.0,3135,2118,7,1,-4,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456449.349,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1249,0,0,-2,1248,1250,2,0,-2
1787456449.484,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1249,1250,1,0,-2
1787456449.631,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1250,1250,0,0,-1,1249,1250,1,0,-2
1787456449.768,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1249,1250,1,0,-2
1787456449.907,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456450.043,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1249,1250,1,0,-2
1787456450.180,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1250,1249,-1,0,-2,1248,1250,2,0,-2
1787456450.316,U,0,1,-,119.0,3134,2119,9,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1249,0,0,-2,1248,1250,2,0,-2
1787456450.457,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1249,0,0,-2,1248,1250,2,0,-2
1787456450.594,U,0,1,-,119.0,3135,2118,7,1,-4,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3509,-3,2,6,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456450.732,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1091,0,0,0,675,673,-2,3,-8,3512,3510,-2,2,7,1250,1249,-1,0,-2,1249,1250,1,0,-2
1787456450.870,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1250,1250,0,0,-1,1249,1250,1,0,-2
1787456451.007,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1250,1250,0,0,-1,1248,1250,2,0,-2
1787456451.145,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456451.277,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456451.419,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456451.549,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456451.693,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1249,1250,1,0,-2
1787456451.831,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456451.965,U,0,1,-,119.0,3135,2118,7,1,-4,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1250,1250,0,0,-1,1248,1250,2,0,-2
1787456452.105,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1249,0,0,-2,1248,1250,2,0,-2
1787456452.243,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1250,1249,-1,0,-2,1248,1250,2,0,-2
1787456452.382,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456452.520,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456452.649,U',0,1,-,119.0,2123,3131,-16,2,-1,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456452.794,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3509,-3,2,6,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456452.932,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456453.068,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456453.207,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1250,1,0,-1,1248,1250,2,0,-2
1787456453.344,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1091,0,0,0,675,674,-1,3,-7,3512,3510,-2,2,7,1249,1249,0,0,-2,1248,1250,2,0,-2
