time,tok,code,aligned,homed,ms,U_before,U_after,U_res,U_idx,U_err,R_before,R_after,R_res,R_idx,R_err,F_before,F_after,F_res,F_idx,F_err,D_before,D_after,D_res,D_idx,D_err,L_before,L_after,L_res,L_idx,L_err,B_before,B_after,B_res,B_idx,B_err
1787464363.104,U,0,1,-,119.0,3135,2119,8,1,-3,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1250,1250,0,0,-1,1233,1233,0,0,-19
1787464363.246,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1250,1250,0,0,-1,1233,1233,0,0,-19
1787464363.393,U,0,1,-,119.0,3135,2118,7,1,-4,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1249,1250,1,0,-1,1233,1233,0,0,-19
1787464363.521,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,674,674,0,3,-7,3501,3501,0,2,-2,1249,1250,1,0,-1,1233,1233,0,0,-19
1787464363.658,U,0,1,-,119.0,3134,2118,8,1,-4,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1249,1250,1,0,-1,1234,1233,-1,0,-19
1787464363.796,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1249,1250,1,0,-1,1233,1233,0,0,-19
1787464363.934,U,0,1,-,119.0,3135,2118,7,1,-4,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1250,1250,0,0,-1,1233,1233,0,0,-19
1787464364.069,U',0,1,-,119.0,2123,3132,-15,2,0,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1249,1250,1,0,-1,1233,1233,0,0,-19
1787464364.203,U,0,1,-,119.0,3134,2118,8,1,-4,1091,1091,0,0,0,674,673,-1,3,-8,3501,3501,0,2,-2,1250,1250,0,0,-1,1233,1233,0,0,-19
1787464364.345,U',0,1,-,119.0,2123,3131,-16,2,-1,1091,1090,-1,0,-1,674,673,-1,3,-8,3501,3501,0,2,-2,1250,1250,0,0,-1,1233,1234,1,0,-18
1787464364.483,U,0,1,-,119.0,3134,2118,8,1,-4,1091,1090,-1,0,-1,674,674,0,3,-7,3501,3501,0,2,-2,1250,1250,0,0,-1,1234,1233,-1,0,-19
